0 6.21803779255 6.49332693301 8.5
1 6.49812311413 6.73635878922 8.5
2 8.5 6.92976360366 6.72092300142
3 8.5 7.12057119007 6.95523695003
4 8.5 7.3076304787 7.18447600265
5 7.4025425503 7.45762628145 8.5
6 7.61257705099 7.66542271002 8.5
7 7.80377081399 7.83323140823 8.5
8 8.5 7.99129417381 7.97796150974
9 8.5 8.13734872469 8.13032274476
10 8.5 8.26843116577 8.26534964297
11 8.37867817581 8.37865962738 8.5
12 8.46523112089 8.46548583635 8.5
13 8.5 8.5 8.5
14 8.5 8.5 8.5
15 8.5 8.5 8.5
16 8.5 8.5 8.5
17 8.5 8.5 8.5
18 8.5 8.5 8.5
19 8.5 8.5 8.5
20 8.5 8.5 8.5
21 8.5 8.5 8.5
22 8.5 8.5 8.5
23 8.5 8.5 8.5
24 8.5 8.5 8.5
25 8.5 8.5 8.5
26 8.5 8.5 8.5
27 8.5 8.5 8.5
28 8.5 8.5 8.5
29 8.5 8.5 8.5
30 8.5 8.5 8.5
31 8.5 8.5 8.5
32 8.5 8.5 8.5
33 8.5 8.5 8.5
34 8.5 8.5 8.5
35 8.5 8.5 8.5
36 8.5 8.5 8.5
37 8.5 8.5 8.5
38 8.5 8.5 8.5
39 8.5 8.5 8.5
40 8.5 8.5 8.5
41 8.5 8.5 8.5
42 8.5 8.5 8.5
43 8.5 8.5 8.5
44 8.5 8.5 8.5
45 8.5 8.5 8.5
46 8.5 8.5 8.5
47 8.5 8.5 8.5
48 8.5 8.5 8.5
49 8.5 8.5 8.5
50 8.5 8.5 8.5
51 8.5 8.5 8.5
52 8.5 8.5 8.5
53 8.5 8.5 8.5
54 8.5 8.5 8.5
55 8.5 8.5 8.5
56 8.5 8.5 8.5
57 8.5 8.5 8.5
58 8.5 8.5 8.5
59 8.5 8.5 8.5
60 8.5 8.5 8.5
61 8.5 8.5 8.5
62 8.5 8.5 8.5
63 8.5 8.5 8.5
64 8.5 8.5 8.5
65 8.5 8.5 8.5
66 8.5 8.5 8.5
67 8.5 8.5 8.5
68 8.5 8.5 8.5
69 8.5 8.5 8.5
70 8.5 8.5 8.5
71 8.5 8.5 8.5
72 8.5 8.5 8.5
73 8.5 8.5 8.5
74 8.5 8.5 8.5
75 8.5 8.5 8.5
76 8.5 8.5 8.5
77 8.5 8.5 8.5
78 8.5 8.5 8.5
79 8.5 8.5 8.5
80 8.5 8.5 8.5
81 8.5 8.5 8.5
82 8.5 8.5 8.5
83 8.5 8.5 8.5
84 8.5 8.5 8.5
85 8.5 8.5 8.5
86 8.5 8.5 8.5
87 8.5 8.5 8.5
88 8.5 8.5 8.5
89 8.5 8.5 8.5
90 8.5 8.5 8.5
91 8.5 8.5 8.5
92 8.5 8.5 8.5
93 8.5 8.5 8.5
94 8.5 8.5 8.5
95 8.5 8.5 8.5
96 8.5 8.5 8.5
97 8.5 8.5 8.5
98 8.5 8.5 8.5
99 8.5 8.5 8.5
100 8.5 8.5 8.5
101 8.5 8.5 8.5
102 8.5 8.5 8.5
103 8.5 8.5 8.5
